排名,沪深300ETF比例,中债新综合LOF比例,红利ETF比例,再平衡阈值,再平衡启用,策略A启用,策略B启用,累计总收益,年化收益,最大回撤,年化波动,夏普比率,卡玛比率
1,0%,60%,40%,3%,开,关,开,284.1530%,10.6226%,37.6070%,21.2144%,0.382900,0.282463
2,0%,60%,40%,3%,开,关,关,284.1530%,10.6226%,37.6070%,21.2144%,0.382900,0.282463
3,0%,60%,40%,2%,开,关,开,280.4114%,10.5414%,36.9283%,21.1652%,0.379900,0.285456
4,0%,60%,40%,2%,开,关,关,280.4114%,10.5414%,36.9283%,21.1652%,0.379900,0.285456
5,0%,60%,40%,1%,开,关,开,272.0555%,10.3574%,37.1209%,21.1850%,0.370900,0.279018
6,0%,60%,40%,1%,开,关,关,272.0555%,10.3574%,37.1209%,21.1850%,0.370900,0.279018
7,20%,60%,20%,2%,开,关,开,209.9155%,8.8550%,27.6773%,17.4763%,0.363600,0.319937
8,20%,60%,20%,2%,开,关,关,209.9155%,8.8550%,27.6773%,17.4763%,0.363600,0.319937
9,20%,60%,20%,3%,开,关,开,208.0065%,8.8045%,26.9462%,17.4856%,0.360600,0.326744
10,20%,60%,20%,3%,开,关,关,208.0065%,8.8045%,26.9462%,17.4856%,0.360600,0.326744
11,20%,60%,20%,1%,开,关,开,206.7870%,8.7722%,27.0742%,17.4571%,0.359300,0.324006
12,20%,60%,20%,1%,开,关,关,206.7870%,8.7722%,27.0742%,17.4571%,0.359300,0.324006
13,0%,60%,40%,3%,开,开,开,240.2083%,9.6191%,33.2528%,20.3124%,0.350500,0.289272
14,0%,60%,40%,3%,开,开,关,240.2083%,9.6191%,33.2528%,20.3124%,0.350500,0.289272
15,20%,40%,40%,2%,开,关,开,295.9194%,10.8732%,41.6195%,23.9592%,0.349500,0.261253
16,20%,40%,40%,2%,开,关,关,295.9194%,10.8732%,41.6195%,23.9592%,0.349500,0.261253
17,20%,40%,40%,3%,开,关,开,295.9188%,10.8732%,41.8357%,23.9935%,0.349000,0.259902
18,20%,40%,40%,3%,开,关,关,295.9188%,10.8732%,41.8357%,23.9935%,0.349000,0.259902
19,0%,60%,40%,2%,开,开,开,236.5706%,9.5308%,33.5556%,20.2429%,0.347300,0.284030
20,0%,60%,40%,2%,开,开,关,236.5706%,9.5308%,33.5556%,20.2429%,0.347300,0.284030
21,20%,40%,40%,1%,开,关,开,292.2568%,10.7959%,41.8398%,23.9525%,0.346300,0.258029
22,20%,40%,40%,1%,开,关,关,292.2568%,10.7959%,41.8398%,23.9525%,0.346300,0.258029
23,0%,60%,40%,1%,开,开,开,233.5129%,9.4558%,33.5851%,20.2452%,0.343600,0.281547
24,0%,60%,40%,1%,开,开,关,233.5129%,9.4558%,33.5851%,20.2452%,0.343600,0.281547
25,40%,40%,20%,3%,开,关,开,230.7293%,9.3870%,35.9196%,20.2756%,0.339700,0.261334
26,40%,40%,20%,3%,开,关,关,230.7293%,9.3870%,35.9196%,20.2756%,0.339700,0.261334
27,40%,40%,20%,1%,开,关,开,228.9512%,9.3428%,35.8380%,20.2655%,0.337700,0.260695
28,40%,40%,20%,1%,开,关,关,228.9512%,9.3428%,35.8380%,20.2655%,0.337700,0.260695
29,40%,40%,20%,2%,开,关,开,229.1934%,9.3488%,36.6340%,20.2867%,0.337600,0.255195
30,40%,40%,20%,2%,开,关,关,229.1934%,9.3488%,36.6340%,20.2867%,0.337600,0.255195
31,0%,40%,60%,2%,开,关,开,356.2084%,12.0583%,51.2251%,28.4109%,0.336400,0.235398
32,0%,40%,60%,2%,开,关,关,356.2084%,12.0583%,51.2251%,28.4109%,0.336400,0.235398
33,0%,40%,60%,3%,开,关,开,354.3838%,12.0246%,51.7525%,28.4890%,0.334300,0.232348
34,0%,40%,60%,3%,开,关,关,354.3838%,12.0246%,51.7525%,28.4890%,0.334300,0.232348
35,0%,40%,60%,1%,开,关,开,344.5820%,11.8415%,51.3868%,28.4094%,0.328800,0.230439
36,0%,40%,60%,1%,开,关,关,344.5820%,11.8415%,51.3868%,28.4094%,0.328800,0.230439
37,0%,80%,20%,2%,开,关,开,179.8601%,8.0252%,25.3640%,16.8508%,0.327900,0.316401
38,0%,80%,20%,2%,开,关,关,179.8601%,8.0252%,25.3640%,16.8508%,0.327900,0.316401
39,0%,60%,40%,1%,关,开,开,218.1704%,9.0698%,33.5093%,20.1830%,0.325500,0.270665
40,0%,60%,40%,1%,关,开,关,218.1704%,9.0698%,33.5093%,20.1830%,0.325500,0.270665
41,0%,60%,40%,2%,关,开,开,218.1704%,9.0698%,33.5093%,20.1830%,0.325500,0.270665
42,0%,60%,40%,2%,关,开,关,218.1704%,9.0698%,33.5093%,20.1830%,0.325500,0.270665
43,0%,60%,40%,3%,关,开,开,218.1704%,9.0698%,33.5093%,20.1830%,0.325500,0.270665
44,0%,60%,40%,3%,关,开,关,218.1704%,9.0698%,33.5093%,20.1830%,0.325500,0.270665
45,20%,60%,20%,3%,开,开,开,179.6875%,8.0202%,29.0145%,17.1983%,0.321000,0.276420
46,20%,60%,20%,3%,开,开,关,179.6875%,8.0202%,29.0145%,17.1983%,0.321000,0.276420
47,20%,60%,20%,1%,开,开,开,179.3717%,8.0111%,29.2748%,17.1834%,0.320700,0.273652
48,20%,60%,20%,1%,开,开,关,179.3717%,8.0111%,29.2748%,17.1834%,0.320700,0.273652
49,0%,80%,20%,1%,开,关,开,175.5494%,7.8995%,25.7097%,16.8552%,0.320300,0.307258
50,0%,80%,20%,1%,开,关,关,175.5494%,7.8995%,25.7097%,16.8552%,0.320300,0.307258
51,0%,80%,20%,3%,开,关,开,174.4953%,7.8685%,25.5147%,16.8800%,0.318000,0.308391
52,0%,80%,20%,3%,开,关,关,174.4953%,7.8685%,25.5147%,16.8800%,0.318000,0.308391
53,0%,40%,60%,2%,开,开,开,307.3690%,11.1106%,47.8658%,27.4403%,0.313800,0.232120
54,0%,40%,60%,2%,开,开,关,307.3690%,11.1106%,47.8658%,27.4403%,0.313800,0.232120
55,0%,40%,60%,3%,开,开,开,306.5344%,11.0935%,47.8892%,27.4618%,0.312900,0.231649
56,0%,40%,60%,3%,开,开,关,306.5344%,11.0935%,47.8892%,27.4618%,0.312900,0.231649
57,0%,40%,60%,1%,开,开,开,303.6676%,11.0345%,48.1910%,27.4473%,0.310900,0.228974
58,0%,40%,60%,1%,开,开,关,303.6676%,11.0345%,48.1910%,27.4473%,0.310900,0.228974
59,20%,60%,20%,2%,开,开,开,173.5932%,7.8419%,29.6180%,17.1807%,0.310900,0.264768
60,20%,60%,20%,2%,开,开,关,173.5932%,7.8419%,29.6180%,17.1807%,0.310900,0.264768
61,20%,60%,20%,1%,关,开,开,171.5700%,7.7818%,28.8305%,17.2255%,0.306600,0.269916
62,20%,60%,20%,1%,关,开,关,171.5700%,7.7818%,28.8305%,17.2255%,0.306600,0.269916
63,20%,60%,20%,2%,关,开,开,171.5700%,7.7818%,28.8305%,17.2255%,0.306600,0.269916
64,20%,60%,20%,2%,关,开,关,171.5700%,7.7818%,28.8305%,17.2255%,0.306600,0.269916
65,20%,60%,20%,3%,关,开,开,171.5700%,7.7818%,28.8305%,17.2255%,0.306600,0.269916
66,20%,60%,20%,3%,关,开,关,171.5700%,7.7818%,28.8305%,17.2255%,0.306600,0.269916
67,20%,40%,40%,1%,开,开,开,242.5766%,9.6762%,42.4015%,23.4583%,0.305900,0.228204
68,20%,40%,40%,1%,开,开,关,242.5766%,9.6762%,42.4015%,23.4583%,0.305900,0.228204
69,20%,40%,40%,2%,开,开,开,241.3912%,9.6477%,42.4007%,23.4992%,0.304200,0.227536
70,20%,40%,40%,2%,开,开,关,241.3912%,9.6477%,42.4007%,23.4992%,0.304200,0.227536
71,20%,40%,40%,3%,开,开,开,240.8429%,9.6345%,42.4058%,23.4895%,0.303700,0.227198
72,20%,40%,40%,3%,开,开,关,240.8429%,9.6345%,42.4058%,23.4895%,0.303700,0.227198
73,0%,80%,20%,1%,开,开,开,159.3014%,7.4087%,24.3835%,16.2283%,0.302500,0.303841
74,0%,80%,20%,1%,开,开,关,159.3014%,7.4087%,24.3835%,16.2283%,0.302500,0.303841
75,0%,80%,20%,3%,开,开,开,159.1838%,7.4051%,24.5865%,16.2626%,0.301600,0.301186
76,0%,80%,20%,3%,开,开,关,159.1838%,7.4051%,24.5865%,16.2626%,0.301600,0.301186
77,0%,80%,20%,2%,开,开,开,156.1229%,7.3094%,24.4620%,16.2125%,0.296600,0.298806
78,0%,80%,20%,2%,开,开,关,156.1229%,7.3094%,24.4620%,16.2125%,0.296600,0.298806
79,40%,20%,40%,3%,开,关,开,293.4009%,10.8202%,49.5407%,28.0493%,0.296600,0.218410
80,40%,20%,40%,3%,开,关,关,293.4009%,10.8202%,49.5407%,28.0493%,0.296600,0.218410
81,40%,60%,0%,2%,开,开,开,158.5706%,7.3860%,27.8085%,16.4750%,0.296600,0.265602
82,40%,60%,0%,2%,开,开,关,158.5706%,7.3860%,27.8085%,16.4750%,0.296600,0.265602
83,40%,60%,0%,3%,开,开,开,158.2915%,7.3773%,27.8046%,16.4818%,0.295900,0.265327
84,40%,60%,0%,3%,开,开,关,158.2915%,7.3773%,27.8046%,16.4818%,0.295900,0.265327
85,20%,40%,40%,1%,关,开,开,234.0315%,9.4686%,43.0090%,23.5754%,0.295600,0.220154
86,20%,40%,40%,1%,关,开,关,234.0315%,9.4686%,43.0090%,23.5754%,0.295600,0.220154
87,20%,40%,40%,2%,关,开,开,234.0315%,9.4686%,43.0090%,23.5754%,0.295600,0.220154
