排名,沪深300ETF比例,中债新综合LOF比例,红利ETF比例,再平衡阈值,再平衡启用,策略A启用,策略B启用,累计总收益,年化收益,最大回撤,年化波动,夏普比率,卡玛比率
1,undefined%,80%,20%,1%,开,开,开,320.4275%,11.3739%,33.2318%,20.8837%,0.424900,0.342260
2,undefined%,80%,20%,1%,开,开,关,320.4275%,11.3739%,33.2318%,20.8837%,0.424900,0.342260
3,undefined%,80%,20%,2%,开,开,开,316.3878%,11.2932%,33.2066%,21.0300%,0.418100,0.340089
4,undefined%,80%,20%,2%,开,开,关,316.3878%,11.2932%,33.2066%,21.0300%,0.418100,0.340089
5,undefined%,80%,20%,3%,开,开,开,314.3977%,11.2532%,33.4883%,20.9481%,0.417900,0.336034
6,undefined%,80%,20%,3%,开,开,关,314.3977%,11.2532%,33.4883%,20.9481%,0.417900,0.336034
7,undefined%,40%,20%,2%,开,开,开,215.2131%,8.9935%,30.7127%,15.7683%,0.411800,0.292827
8,undefined%,40%,20%,2%,开,开,关,215.2131%,8.9935%,30.7127%,15.7683%,0.411800,0.292827
9,undefined%,60%,20%,2%,开,开,开,253.8797%,9.9436%,30.6661%,18.2131%,0.408700,0.324254
10,undefined%,60%,20%,2%,开,开,关,253.8797%,9.9436%,30.6661%,18.2131%,0.408700,0.324254
11,undefined%,60%,20%,1%,开,开,开,252.4830%,9.9110%,30.8742%,18.2440%,0.406200,0.321012
12,undefined%,60%,20%,1%,开,开,关,252.4830%,9.9110%,30.8742%,18.2440%,0.406200,0.321012
13,undefined%,60%,20%,3%,开,开,开,253.0679%,9.9246%,32.9962%,18.7565%,0.395800,0.300780
14,undefined%,60%,20%,3%,开,开,关,253.0679%,9.9246%,32.9962%,18.7565%,0.395800,0.300780
15,undefined%,40%,20%,3%,开,开,开,210.8727%,8.8802%,33.0847%,16.1770%,0.394400,0.268408
16,undefined%,40%,20%,3%,开,开,关,210.8727%,8.8802%,33.0847%,16.1770%,0.394400,0.268408
17,undefined%,80%,20%,1%,关,开,开,292.9792%,10.8112%,34.6583%,21.1287%,0.393400,0.311937
18,undefined%,80%,20%,1%,关,开,关,292.9792%,10.8112%,34.6583%,21.1287%,0.393400,0.311937
19,undefined%,80%,20%,2%,关,开,开,292.9792%,10.8112%,34.6583%,21.1287%,0.393400,0.311937
20,undefined%,80%,20%,2%,关,开,关,292.9792%,10.8112%,34.6583%,21.1287%,0.393400,0.311937
21,undefined%,80%,20%,3%,关,开,开,292.9792%,10.8112%,34.6583%,21.1287%,0.393400,0.311937
22,undefined%,80%,20%,3%,关,开,关,292.9792%,10.8112%,34.6583%,21.1287%,0.393400,0.311937
23,undefined%,60%,20%,1%,关,开,开,244.1587%,9.7141%,34.2721%,18.8126%,0.383500,0.283440
24,undefined%,60%,20%,1%,关,开,关,244.1587%,9.7141%,34.2721%,18.8126%,0.383500,0.283440
25,undefined%,60%,20%,2%,关,开,开,244.1587%,9.7141%,34.2721%,18.8126%,0.383500,0.283440
26,undefined%,60%,20%,2%,关,开,关,244.1587%,9.7141%,34.2721%,18.8126%,0.383500,0.283440
27,undefined%,60%,20%,3%,关,开,开,244.1587%,9.7141%,34.2721%,18.8126%,0.383500,0.283440
28,undefined%,60%,20%,3%,关,开,关,244.1587%,9.7141%,34.2721%,18.8126%,0.383500,0.283440
29,undefined%,60%,40%,3%,开,关,开,284.1530%,10.6226%,37.6070%,21.2144%,0.382900,0.282463
30,undefined%,60%,40%,3%,开,关,关,284.1530%,10.6226%,37.6070%,21.2144%,0.382900,0.282463
31,undefined%,40%,20%,1%,开,开,开,204.5613%,8.7128%,33.1006%,16.3237%,0.380600,0.263222
32,undefined%,40%,20%,1%,开,开,关,204.5613%,8.7128%,33.1006%,16.3237%,0.380600,0.263222
33,undefined%,60%,40%,2%,开,关,开,280.4114%,10.5414%,36.9283%,21.1652%,0.379900,0.285456
34,undefined%,60%,40%,2%,开,关,关,280.4114%,10.5414%,36.9283%,21.1652%,0.379900,0.285456
35,undefined%,40%,20%,1%,关,开,开,208.7889%,8.8252%,34.2979%,16.6892%,0.379000,0.257310
36,undefined%,40%,20%,1%,关,开,关,208.7889%,8.8252%,34.2979%,16.6892%,0.379000,0.257310
37,undefined%,40%,20%,2%,关,开,开,208.7889%,8.8252%,34.2979%,16.6892%,0.379000,0.257310
38,undefined%,40%,20%,2%,关,开,关,208.7889%,8.8252%,34.2979%,16.6892%,0.379000,0.257310
39,undefined%,40%,20%,3%,关,开,开,208.7889%,8.8252%,34.2979%,16.6892%,0.379000,0.257310
40,undefined%,40%,20%,3%,关,开,关,208.7889%,8.8252%,34.2979%,16.6892%,0.379000,0.257310
41,undefined%,60%,40%,1%,开,关,开,272.0555%,10.3574%,37.1209%,21.1850%,0.370900,0.279018
42,undefined%,60%,40%,1%,开,关,关,272.0555%,10.3574%,37.1209%,21.1850%,0.370900,0.279018
43,undefined%,60%,40%,3%,开,开,开,475.9160%,14.0341%,48.2036%,31.2477%,0.369100,0.291142
44,undefined%,60%,40%,3%,开,开,关,475.9160%,14.0341%,48.2036%,31.2477%,0.369100,0.291142
45,undefined%,60%,40%,2%,开,开,开,471.1925%,13.9637%,48.5049%,31.2704%,0.366600,0.287882
46,undefined%,60%,40%,2%,开,开,关,471.1925%,13.9637%,48.5049%,31.2704%,0.366600,0.287882
47,undefined%,60%,40%,1%,关,开,开,466.7284%,13.8966%,48.3151%,31.2610%,0.364600,0.287624
48,undefined%,60%,40%,1%,关,开,关,466.7284%,13.8966%,48.3151%,31.2610%,0.364600,0.287624
49,undefined%,60%,40%,2%,关,开,开,466.7284%,13.8966%,48.3151%,31.2610%,0.364600,0.287624
50,undefined%,60%,40%,2%,关,开,关,466.7284%,13.8966%,48.3151%,31.2610%,0.364600,0.287624
51,undefined%,60%,40%,3%,关,开,开,466.7284%,13.8966%,48.3151%,31.2610%,0.364600,0.287624
